PROJECT SCHEDULE TEMPLATE,,,,,,
PROJECT NAME,PROJECT MANAGER,,,,,
Library Book Checkout System,Leonardo Fernandes,,,,,
SCOPE STATEMENT,"Create a functional library checkout system, allowing users to checkout their desired books if they're avaliable.",,,,,
START DATE,END DATE,OVERALL PROGRESS,,,,
9/16/2025,11/28/2025,57%,,,,
TASK NAME,ASSIGNED TO,START DATE,END DATE,DURATION (in days),STATUS,COMMENTS
Set Kickoff Meeting,Leo F.,16-Sep,18-Jan,2,Complete,
Iteration 1,Rafi B.,20-Sep,22-Sep,2,Complete,
Detailed Requirements,Kyle B.,14-Oct,15-Oct,1,Complete,
Iteration 3,All,30-Oct,4-Nov,5,Complete,
Implement SQL,Kyle B.,5-Nov,10-Nov,5,In Progress,
Re-Vamp UI,Leo F.,5-Nov,7-Nov,2,In Progress,
Adjust Python to new changes,Rafi B.,10-Nov,13-Nov,3,Not Started,
Iteration 4,All,13-Nov,20-Nov,7,Not Started,
Final review,All,20-Nov,23-Nov,3,Not Started,
Testing,Kyle B.,23-Nov,25-Nov,2,Not Started,
Turn in final product,All,25-Nov,28-Nov,3,Not Started,
